date,value,precip,windmax,windmaxdir,rhhi,temphi,templo,avgtemp
2023-07-09,34475098.0,18.49,8.5716,103.5988,65.348712,36.61746,25.15679,30.89
2023-07-10,35816364.0,48.88,11.50442,319.0498,74.703337,35.95476,25.06413,30.51
2023-07-11,36139864.0,97.65,9.91373,273.9824,82.124741,34.93271,24.66866,29.8
2023-07-12,37545547.0,97.65,9.4607,265.5461,94.214216,31.7155,24.68508,28.2
2023-07-13,37098016.0,95.86,11.49984,95.9509,88.761063,30.82805,25.09302,27.96
2023-07-14,36419234.0,0.0,11.45133,69.5247,67.408931,34.01585,25.53484,29.78
2023-07-15,36158266.0,0.0,11.39412,166.2396,63.945735,33.84016,23.29411,28.57
2023-07-16,34310001.0,0.0,6.9301,255.7544,64.605857,33.12839,21.93148,27.53
2023-07-17,35566980.0,0.0,8.47282,288.5226,67.492095,32.40632,21.88213,27.14
2023-07-18,35881759.0,10.89,7.39865,290.9283,72.19874,32.25357,22.79251,27.52
2023-07-19,36321933.0,2.89,7.62898,210.9819,71.952542,32.98609,23.97925,28.48
2023-07-20,36496855.0,27.35,9.88615,327.485,75.572115,32.40389,24.6,28.5
2023-07-21,36997786.0,58.02,12.00147,309.7834,85.801968,31.72197,23.92593,27.82
2023-07-22,36777457.0,101.32,8.32363,76.058,87.403479,30.97768,24.28467,27.63
2023-07-23,35201348.0,52.28,6.36308,143.0274,82.758137,32.437,23.51955,27.98
2023-07-24,35388179.0,0.0,6.64388,332.9461,76.487329,33.82166,23.5359,28.68
2023-07-25,35988003.0,57.23,8.27704,333.6059,78.217424,33.98814,24.62118,29.3
2023-07-26,36286846.0,91.09,9.13069,326.3597,82.208951,32.5715,24.62107,28.6
2023-07-27,35998001.0,46.97,10.38507,322.3606,80.312573,33.03551,24.29834,28.67
2023-07-28,36550931.0,101.32,12.14246,301.3176,85.742465,32.31739,25.62097,28.97
2023-07-29,36424660.0,101.32,17.03857,298.7514,90.5066,31.3078,25.54265,28.43
